day,temp_smooth,anomaly
1.000,0.840,-1.673
2.000,0.913,3.760
3.000,0.933,5.953
4.000,0.867,-1.677
5.000,1.400,-1.643
6.000,1.407,-0.353
7.000,1.413,4.633
8.000,1.347,-1.673
9.000,1.347,0.423
10.000,1.067,-0.343
11.000,0.687,-1.663
12.000,0.687,7.370
13.000,0.773,-0.497
14.000,0.780,-0.557
15.000,0.440,-1.743
16.000,0.513,-1.930
17.000,0.373,-0.730
18.000,0.393,0.067
19.000,0.393,-1.620
20.000,-0.207,-0.320
21.000,-0.093,-0.343
22.000,0.073,-0.500
23.000,0.513,-0.390
24.000,0.513,-1.490
25.000,0.600,0.180
26.000,0.553,-1.377
27.000,0.553,-1.377
28.000,0.713,1.723
29.000,0.620,2.560
30.000,0.540,5.597
31.000,0.467,-1.003
32.000,0.467,1.497
33.000,0.360,0.173
34.000,0.360,-1.003
35.000,0.360,2.613
36.000,0.173,-1.113
37.000,-0.067,-1.193
38.000,-0.507,-1.153
39.000,-0.507,-1.557
40.000,-0.547,-1.600
41.000,-0.547,-1.547
42.000,-0.380,-1.593
43.000,-0.487,-1.710
44.000,-0.233,-1.683
45.000,-0.233,-1.853
46.000,-0.147,-1.897
47.000,-0.147,-0.047
48.000,-0.053,-0.767
49.000,0.180,0.533
50.000,0.313,0.133
51.000,0.893,1.957
52.000,1.420,-2.067
54.000,1.520,-0.867
55.000,1.727,-2.217
56.000,1.680,-0.817
57.000,1.600,1.283
58.000,1.433,-0.217
59.000,1.740,6.250
60.000,1.560,5.450
61.000,1.687,-1.043
62.000,1.700,0.380
63.000,1.700,-1.457
64.000,1.607,-2.617
65.000,1.373,-2.603
66.000,1.707,3.933
67.000,1.127,-1.580
68.000,0.787,-0.780
69.000,1.040,-0.793
70.000,0.833,-2.310
71.000,0.753,-2.347
72.000,0.893,-2.300
73.000,1.360,4.817
74.000,0.993,-2.117
75.000,0.920,0.830
76.000,0.900,3.540
77.000,0.920,-1.863
78.000,0.993,-1.797
79.000,0.993,0.303
80.000,0.993,5.203
81.000,0.527,-0.653
82.000,0.813,-1.630
83.000,0.733,-0.173
84.000,0.687,0.090
85.000,0.760,-0.560
86.000,0.840,-1.760
87.000,0.700,-1.817
88.000,0.347,-1.887
89.000,0.267,2.603
90.000,0.627,-0.097
91.000,0.520,2.997
92.000,0.400,-0.327
93.000,0.527,-0.227
94.000,0.640,-1.427
95.000,0.780,0.343
96.000,0.867,-1.327
97.000,0.580,4.113
98.000,0.473,-1.390
99.000,0.167,-1.423
100.000,0.093,1.520
101.000,0.013,0.060
